,Team,Salary,W,L,Rank_wins,NetRating,Rank_rating,Year,Champion,LuxuryTax
0,BKN,91817289,38,44,24,-3.05,21,2015,GSW,76829000
1,LAC,85259447,56,26,9,6.98,2,2015,GSW,76829000
2,DAL,84820225,50,32,15,3.16,11,2015,GSW,76829000
3,POR,84336174,51,31,14,4.5,6,2015,GSW,76829000
4,CLE,82592827,53,29,13,4.8,5,2015,GSW,76829000
5,MIA,82413041,37,45,27,-3.05,21,2015,GSW,76829000
6,NYK,81369219,17,65,35,-10.13,30,2015,GSW,76829000
7,TOR,81317963,49,33,17,3.37,9,2015,GSW,76829000
8,CHI,80964682,50,32,15,3.37,9,2015,GSW,76829000
9,OKC,80408520,45,37,19,2.24,12,2015,GSW,76829000
10,NOP,80012866,45,37,19,0.8,14,2015,GSW,76829000
11,LAL,77546500,21,61,33,-7.36,27,2015,GSW,76829000
12,HOU,76849302,56,26,9,3.61,7,2015,GSW,76829000
13,CHA,76181367,33,49,28,-3.52,23,2015,GSW,76829000
14,MEM,75158730,55,27,11,3.55,8,2015,GSW,76829000
15,IND,74793526,38,44,24,0.4,15,2015,GSW,76829000
16,GSW,73611166,67,15,7,10.32,1,2015,GSW,76829000
17,SAC,73379071,29,53,31,-3.94,25,2015,GSW,76829000
18,WAS,73372974,46,36,18,0.83,13,2015,GSW,76829000
19,SAS,70770209,55,27,11,6.64,3,2015,GSW,76829000
20,MIN,69378954,16,66,36,-9.36,29,2015,GSW,76829000
21,DET,67410675,32,50,29,-1.14,20,2015,GSW,76829000
22,PHX,65336172,39,43,23,-0.92,19,2015,GSW,76829000
23,BOS,62218516,40,42,22,0.15,18,2015,GSW,76829000
24,MIL,61153275,41,41,21,0.38,16,2015,GSW,76829000
25,UTA,60847538,38,44,24,0.28,17,2015,GSW,76829000
26,ORL,59629210,25,57,32,-6.07,26,2015,GSW,76829000
27,ATL,58320278,60,22,8,6.02,4,2015,GSW,76829000
28,DEN,56820307,30,52,30,-3.57,24,2015,GSW,76829000
29,PHI,54355571,18,64,34,-9.31,28,2015,GSW,76829000
30,CLE,108300458,57,25,3,6.48,4,2016,CLE,84740000
31,LAC,97019321,53,29,6,4.47,6,2016,CLE,84740000
32,OKC,95708387,55,27,5,7.54,3,2016,CLE,84740000
33,GSW,93669566,73,9,1,10.86,2,2016,CLE,84740000
34,SAS,87832839,67,15,2,11.49,1,2016,CLE,84740000
35,HOU,87504058,41,41,17,0.13,15,2016,CLE,84740000
36,CHI,87073838,42,40,14,-1.43,18,2016,CLE,84740000
37,MIA,85764781,48,34,7,1.67,12,2016,CLE,84740000
38,WAS,85055155,41,41,17,-0.39,17,2016,CLE,84740000
39,NOP,83709371,30,52,25,-3.89,25,2016,CLE,84740000
40,MEM,83223881,42,40,14,-2.33,20,2016,CLE,84740000
41,BKN,80258302,21,61,28,-7.86,28,2016,CLE,84740000
42,DET,77256014,44,38,12,0.59,14,2016,CLE,84740000
43,BOS,77141919,48,34,7,3.2,8,2016,CLE,84740000
44,CHA,76860006,48,34,7,2.71,9,2016,CLE,84740000
45,DAL,75397067,42,40,14,-0.19,16,2016,CLE,84740000
46,NYK,74237021,32,50,24,-3.03,22,2016,CLE,84740000
47,MIL,73843541,33,49,21,-4.59,26,2016,CLE,84740000
48,LAL,72694352,17,65,29,-10.12,29,2016,CLE,84740000
49,DEN,72589023,33,49,21,-3.25,23,2016,CLE,84740000
50,MIN,72287243,29,53,26,-3.86,24,2016,CLE,84740000
51,ATL,71661760,48,34,7,3.75,7,2016,CLE,84740000
52,IND,71605233,45,37,11,1.77,11,2016,CLE,84740000
53,TOR,71591189,56,26,4,4.95,5,2016,CLE,84740000
54,SAC,70610560,33,49,21,-2.5,21,2016,CLE,84740000
55,PHX,68095365,23,59,27,-6.86,27,2016,CLE,84740000
56,PHI,64583220,10,72,30,-10.5,30,2016,CLE,84740000
57,UTA,63608425,40,42,19,2.04,10,2016,CLE,84740000
58,ORL,63199651,35,47,20,-1.74,19,2016,CLE,84740000
59,POR,61685814,44,38,12,0.88,13,2016,CLE,84740000
60,CLE,128522489,51,31,5,3.27,7,2017,GSW,113287000
61,POR,119732234,41,41,15,-0.53,18,2017,GSW,113287000
62,LAC,114756766,51,31,5,4.5,5,2017,GSW,113287000
63,SAS,112017779,61,21,2,7.56,2,2017,GSW,113287000
64,MEM,110083520,43,39,11,0.7,12,2017,GSW,113287000
65,TOR,108599970,51,31,5,4.51,4,2017,GSW,113287000
66,DET,106492988,37,45,19,-1.37,21,2017,GSW,113287000
67,ORL,104096951,29,53,26,-6.88,29,2017,GSW,113287000
68,WAS,104016580,49,33,9,1.92,9,2017,GSW,113287000
69,CHA,103054004,36,46,20,0.25,15,2017,GSW,113287000
70,NYK,102593418,31,51,24,-3.77,24,2017,GSW,113287000
71,DAL,102354966,33,49,22,-3.08,23,2017,GSW,113287000
72,NOP,101616451,34,48,21,-2.2,22,2017,GSW,113287000
73,GSW,101584835,67,15,1,11.69,1,2017,GSW,113287000
74,MIA,100740770,41,41,15,1.09,10,2017,GSW,113287000
75,ATL,96315163,43,39,11,-0.99,19,2017,GSW,113287000
76,MIL,96245877,42,40,13,-0.23,17,2017,GSW,113287000
77,SAC,95596327,32,50,23,-4.21,25,2017,GSW,113287000
78,LAL,94781848,26,56,28,-7.02,30,2017,GSW,113287000
79,BOS,93465326,53,29,4,2.72,8,2017,GSW,113287000
80,CHI,92522306,41,41,15,0.32,14,2017,GSW,113287000
81,OKC,91230089,47,35,10,0.78,11,2017,GSW,113287000
82,HOU,90956067,55,27,3,5.63,3,2017,GSW,113287000
83,IND,90279072,42,40,13,-0.16,16,2017,GSW,113287000
84,PHX,89754590,24,58,29,-5.47,26,2017,GSW,113287000
85,PHI,84775343,28,54,27,-5.85,27,2017,GSW,113287000
86,DEN,83836460,40,42,18,0.47,13,2017,GSW,113287000
87,MIN,83527580,31,51,24,-1.2,20,2017,GSW,113287000
88,BKN,82391482,20,62,30,-6.73,28,2017,GSW,113287000
89,UTA,80138192,51,31,5,4.27,6,2017,GSW,113287000
90,CLE,137722926,50,32,6,1.02,14,2018,GSW,119266000
91,GSW,137610134,58,24,3,5.88,3,2018,GSW,119266000
92,OKC,134534640,48,34,8,3.47,7,2018,GSW,119266000
93,MIA,133624374,44,38,15,0.51,16,2018,GSW,119266000
94,WAS,123306396,43,39,17,0.55,15,2018,GSW,119266000
95,NOP,120814452,48,34,8,1.24,13,2018,GSW,119266000
96,MIL,120521249,44,38,15,-0.31,20,2018,GSW,119266000
97,HOU,119905532,65,17,1,8.64,1,2018,GSW,119266000
98,DET,119773191,39,43,19,-0.19,19,2018,GSW,119266000
99,LAC,119093010,42,40,18,-0.05,18,2018,GSW,119266000
100,POR,118708146,49,33,7,2.66,9,2018,GSW,119266000
101,CHA,117382664,36,46,20,0.23,17,2018,GSW,119266000
102,TOR,116929373,59,23,2,8.03,2,2018,GSW,119266000
103,MIN,116075131,47,35,12,2.38,10,2018,GSW,119266000
104,BOS,115284776,55,27,4,3.75,6,2018,GSW,119266000
105,SAS,114633844,47,35,12,3.13,8,2018,GSW,119266000
106,MEM,110700149,22,60,29,-6.57,27,2018,GSW,119266000
107,DEN,107543599,46,36,14,1.62,11,2018,GSW,119266000
108,UTA,105606838,48,34,8,4.51,4,2018,GSW,119266000
109,NYK,105403130,29,53,22,-3.65,23,2018,GSW,119266000
110,LAL,103126557,35,47,21,-1.54,21,2018,GSW,119266000
111,PHI,100797386,52,30,5,4.51,4,2018,GSW,119266000
112,ATL,99992696,24,58,27,-5.47,26,2018,GSW,119266000
113,SAC,99587185,27,55,24,-7.43,29,2018,GSW,119266000
114,ORL,98700258,25,57,26,-5.02,25,2018,GSW,119266000
115,BKN,95475397,28,54,23,-3.8,24,2018,GSW,119266000
116,IND,95271736,48,34,8,1.44,12,2018,GSW,119266000
117,PHX,92684083,21,61,30,-9.26,30,2018,GSW,119266000
118,CHI,90466801,27,55,24,-7.22,28,2018,GSW,119266000
119,DAL,85440245,24,58,27,-3.08,22,2018,GSW,119266000
120,MIA,153171497,39,43,17,-0.13,16,2019,TOR,123733000
121,GSW,146291276,57,25,3,6.39,2,2019,TOR,123733000
122,OKC,144916427,49,33,9,3.31,10,2019,TOR,123733000
123,TOR,137793831,58,24,2,5.99,3,2019,TOR,123733000
124,MIL,130988604,60,22,1,8.47,1,2019,TOR,123733000
125,POR,130256600,53,29,5,4.38,7,2019,TOR,123733000
126,DET,126557932,41,41,16,-0.2,17,2019,TOR,123733000
127,HOU,126474100,53,29,5,4.82,5,2019,TOR,123733000
128,BOS,125334993,49,33,9,4.43,6,2019,TOR,123733000
129,MEM,125188633,33,49,22,-2.7,24,2019,TOR,123733000
130,WAS,123747588,32,50,25,-2.84,25,2019,TOR,123733000
131,NYK,123387454,17,65,30,-9.26,28,2019,TOR,123733000
132,CLE,123255073,19,63,28,-10.04,30,2019,TOR,123733000
133,MIN,121962221,36,46,21,-1.51,22,2019,TOR,123733000
134,SAS,121588790,48,34,11,1.75,12,2019,TOR,123733000
135,CHA,121427859,39,43,17,-1.06,19,2019,TOR,123733000
136,BKN,118850600,42,40,14,-0.06,15,2019,TOR,123733000
137,DEN,118327016,54,28,4,4.14,8,2019,TOR,123733000
138,LAC,118026816,48,34,11,0.81,13,2019,TOR,123733000
139,NOP,116052756,33,49,22,-1.25,21,2019,TOR,123733000
140,PHI,115127167,51,31,7,2.64,11,2019,TOR,123733000
141,ORL,114394213,42,40,14,0.65,14,2019,TOR,123733000
142,UTA,113826156,50,32,8,5.24,4,2019,TOR,123733000
143,CHI,112598201,22,60,27,-8.49,27,2019,TOR,123733000
144,IND,110724804,48,34,11,3.39,9,2019,TOR,123733000
145,PHX,108692835,19,63,28,-9.26,28,2019,TOR,123733000
146,LAL,107225482,37,45,20,-1.66,23,2019,TOR,123733000
147,SAC,101466920,39,43,17,-1.02,18,2019,TOR,123733000
148,DAL,86958881,33,49,22,-1.22,20,2019,TOR,123733000
149,ATL,79180081,29,53,26,-5.7,26,2019,TOR,123733000
